"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
"2.1",28.4,8.501360467840341e-16,13.883775262809358,NA,NA,90.0,0,0,25.035353910741236,88.2541720019896,NA
"1.0",28.6,8.399534852222539e-16,13.717481412715278,NA,NA,90.0,0,0,NA,52.985593437611364,NA
"2.0",28.6,-13.875546379457228,13.875546379457228,NA,NA,180.0,0,0,NA,54.16063533364465,NA
"2.1",28.6,8.364621362264467e-16,13.660463356599212,NA,NA,90.0,0,0,25.04675752196445,85.52257211458921,NA
"1.0",28.8,8.384596820673223e-16,13.693085755845532,NA,NA,90.0,0,0,NA,50.248376843332686,NA
"2.0",28.8,-13.667360852868297,13.667360852868297,NA,NA,180.0,0,0,NA,56.89289967112752,NA
"2.1",28.8,8.463409238376957e-16,13.8217962015979,NA,NA,90.0,0,0,25.021015432813982,82.75874459003865,NA
"1.0",29.0,8.415129687167162e-16,13.742949710930699,NA,NA,90.0,0,0,NA,47.50135489406517,NA
"2.0",29.0,-13.855018191440031,13.855018191440031,NA,NA,180.0,0,0,NA,59.66279183197156,NA
"2.1",29.0,8.387299073585732e-16,13.697498869756236,NA,NA,90.0,0,0,25.03010560104886,80.0198079899048,NA
"1.0",29.2,8.455075320555829e-16,13.808185880929232,NA,NA,90.0,0,0,NA,44.741487124917334,NA
"2.0",29.2,-13.68790187693201,13.68790187693201,NA,NA,180.0,0,0,NA,62.39937105409496,NA
"2.1",29.2,8.437927638705351e-16,13.780181591263972,NA,NA,90.0,0,0,25.035706458981906,77.26437853915837,NA
"1.0",29.4,8.494638384210937e-16,13.872797267138958,NA,NA,90.0,0,0,NA,41.96893978123156,NA
"2.0",29.4,-13.76653975139372,13.76653975139372,NA,NA,180.0,0,0,NA,65.15175694433613,NA
"2.1",29.4,8.38890175471469e-16,13.700116246668623,NA,NA,90.0,0,0,25.07024266307596,74.52500312158041,NA
"1.0",29.6,8.387518124356574e-16,13.697856606813149,NA,NA,90.0,0,0,NA,39.231634338070705,NA
"2.0",29.6,-13.85209483136423,13.85209483136423,NA,NA,180.0,0,0,NA,67.92132356053895,NA
"2.1",29.6,8.510677760115927e-16,13.898991555836984,NA,NA,90.0,0,0,25.03001567327118,71.74591260524306,NA
"1.0",29.8,8.436431170787371e-16,13.77773767368868,NA,NA,90.0,0,0,NA,36.47870907527527,NA
"2.0",29.8,-13.782820347421803,13.782820347421803,NA,NA,180.0,0,0,NA,70.6771058532341,NA
"2.1",29.8,8.402778927685406e-16,13.72277939000167,NA,NA,90.0,0,0,25.04100733000857,69.00211148960751,NA
"1.0",30.0,8.416661249603754e-16,13.745450942204334,NA,NA,90.0,0,0,NA,33.73266172391716,NA
"2.0",30.0,-13.683826947868802,13.683826947868802,NA,NA,180.0,0,0,NA,73.41315315113732,NA
"2.1",30.0,8.392417923890301e-16,13.705858586709947,NA,NA,90.0,0,0,25.04892580110743,66.26175600420335,NA
"1.0",30.2,8.463704030984037e-16,13.822277634460479,NA,NA,90.0,0,0,NA,30.971810452540414,NA
"2.0",30.2,-13.897695897202938,13.897695897202938,NA,NA,180.0,0,0,NA,76.19201581113978,NA
"2.1",30.2,8.416326814062445e-16,13.744904767517001,NA,NA,90.0,0,0,25.06440037449613,63.5136643539768,NA
"1.0",30.4,7.995550405693925e-16,13.057724743592583,NA,NA,90.0,0,0,NA,28.364315326255195,NA
"2.0",30.4,-13.779755193949677,13.779755193949677,NA,NA,180.0,0,0,NA,78.94734309840614,NA
"2.1",30.4,8.398542980690446e-16,13.715861563575455,NA,NA,90.0,0,0,24.932773010499545,60.77145965248154,NA
"1.0",30.6,7.551801785834659e-16,12.333028251235405,NA,NA,90.0,0,0,NA,25.90228406899937,NA
"2.0",30.6,-13.726993946665898,13.726993946665898,NA,NA,180.0,0,0,NA,81.69216236388995,NA
