"s","a","r","sp"
22672,0,-1,27856
27856,0,-1,58960
58960,0,-1,74512
74512,0,-1,74512
74512,0,-1,38224
38224,0,-1,38224
38224,0,-1,41464
41464,0,-1,41464
41464,0,-1,77752
77752,1,-1,641
641,0,-1,176897
176897,0,-1,135425
135425,0,-1,176897
176897,0,-1,135425
135425,0,-1,99137
99137,0,-1,99137
99137,0,-1,218369
218369,0,-1,290945
290945,0,-1,290945
290945,0,-1,254648
254648,0,-1,290936
290936,0,-1,254648
254648,0,-1,254648
254648,0,-1,254639
254639,0,-1,254639
254639,0,-1,254629
254629,0,-1,254629
254629,0,-1,254629
254629,0,-1,254629
254629,0,-1,254620
254620,0,-1,213148
213148,0,-1,254620
254620,0,-1,213148
213148,0,-1,254620
254620,0,-1,254620
254620,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
254611,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254602
254602,0,-1,254593
254593,0,-1,254593
254593,0,-1,249409
249409,0,-1,249409
249409,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,254584
254584,0,-1,290872
290872,0,-1,290881
290881,0,-1,145729
145729,0,-1,73153
73153,0,-1,73162
73162,0,-1,77698
77698,0,-1,21322
21322,1,-1,1290
1290,0,-1,99786
99786,0,-1,177546
177546,0,-1,141258
141258,0,-1,136074
136074,0,-1,136074
136074,0,-1,136074
136074,0,-1,141258
141258,0,-1,141258
141258,0,-1,141257
141257,0,-1,136073
136073,0,-1,177545
177545,0,-1,177545
177545,0,-1,177545
177545,0,-1,94601
94601,0,-1,136073
136073,0,-1,136073
136073,0,-1,58313
58313,0,-1,22025
22025,0,-1,22025
22025,0,-1,22025
22025,0,-1,22025
22025,0,-1,22025
22025,0,-1,16841
16841,0,-1,22025
22025,0,-1,16840
16840,0,-1,22024
22024,0,-1,22024
22024,0,-1,22024
22024,0,-1,16840
16840,0,-1,22024
22024,0,-1,16840
16840,0,-1,22024
22024,0,-1,58312
58312,0,-1,68680
68680,0,-1,58312
58312,0,-1,22024
22024,0,-1,100596
100596,0,-1,95412
95412,0,-1,100595
100595,0,-1,95411
95411,0,-1,142553
142553,0,-1,137369
137369,0,-1,178841
178841,0,-1,137369
137369,0,-1,137369
137369,0,-1,101081
101081,1,-167,641
641,0,-1,21377
21377,0,-1,57665
57665,0,-1,16193
16193,0,-1,21377
21377,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,16192
16192,0,-1,21376
21376,0,-1,21376
21376,0,-1,21376
21376,0,-1,60338
60338,0,-1,24050
24050,0,-1,24050
24050,0,-1,18866
18866,0,-1,24050
24050,0,-1,18866
18866,0,-1,18866
18866,0,-1,18866
18866,0,-1,18865
18865,0,-1,24049
24049,0,-1,13681
13681,0,-1,24049
24049,0,-1,24049
24049,0,-1,18865
18865,0,-1,18865
18865,0,-1,18865
18865,0,-1,24049
24049,0,-1,18865
18865,0,-1,24049
24049,0,-1,24049
24049,0,-1,218373
218373,0,-1,182085
182085,0,-1,218373
218373,0,-1,182085
182085,0,-1,182085
182085,0,-1,182085
182085,0,-1,182085
182085,0,-1,182085
182085,0,-1,182085
182085,0,-1,145797
145797,0,-1,145797
145797,0,-1,145797
145797,0,-1,145797
145797,1,0,643
643,0,-1,140611
140611,0,-1,135427
135427,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,140611
140611,0,-1,135427
135427,0,-1,99139
99139,0,-1,99139
99139,0,-1,176899
176899,0,-1,104322
104322,0,-1,135426
135426,0,-1,99138
99138,0,-1,176898
176898,0,-1,99138
99138,0,-1,135426
135426,0,-1,99138
99138,0,-1,213186
213186,0,-1,140610
140610,0,-1,99138
99138,0,-1,140610
140610,0,-1,176898
176898,0,-1,135426
135426,0,-1,135426
135426,0,-1,140610
140610,0,-1,140610
140610,0,-1,99137
99137,0,-1,99137
99137,0,-1,140609
140609,0,-1,176897
176897,0,-1,135425
135425,0,-1,176897
176897,0,-1,99137
99137,0,-1,135425
135425,0,-1,290945
290945,0,-1,290945
290945,0,-1,218369
218369,0,-1,254648
254648,0,-1,254648
254648,0,-1,254648
254648,0,-1,254648
254648,0,-1,254639
254639,1,-18,642
642,0,-1,140610
140610,0,-1,176898
176898,0,-1,99138
99138,0,-1,140610
140610,0,-1,140610
140610,0,-1,176898
176898,0,-1,99138
99138,0,-1,140610
140610,0,-1,140609
140609,0,-1,176897
176897,0,-1,176897
176897,0,-1,135425
135425,0,-1,135425
135425,0,-1,135425
135425,0,-1,135425
135425,0,-1,99137
99137,0,-1,254657
254657,0,-1,290945
290945,0,-1,254657
254657,0,-1,254657
254657,0,-1,254648
254648,0,-1,249464
249464,0,-1,254639
254639,0,-1,254639
254639,0,-1,254639
254639,0,-1,254638
254638,0,-1,254629
254629,0,-1,254629
254629,0,-1,254629
254629,0,-1,254620
254620,0,-1,254620
254620,0,-1,254620
254620,0,-1,254620
254620,0,-1,254620
254620,0,-1,254620
254620,0,-1,254611
254611,0,-1,254611
254611,0,-1,254611
