"VID","TimeStep","vel_x","vel_y","accel_x","accel_y","yaw","numberOfLanesToMedian","numberOfLanesToCurb","headway","distanceToIntersection","turn"
2.0,29.4,-13.76653975139372,13.76653975139372,-0.3931893723085547,0.3931893723085547,180.0,0,0,NA,65.15175694433613,"right"
2.0,29.6,-13.85209483136423,13.85209483136423,-0.4277753998525495,0.4277753998525495,180.0,0,0,NA,67.92132356053895,"right"
2.0,29.8,-13.782820347421803,13.782820347421803,0.34637241971213883,-0.34637241971213883,180.0,0,0,NA,70.6771058532341,"right"
2.0,30.0,-13.683826947868802,13.683826947868802,0.49496699776500463,-0.49496699776500463,180.0,0,0,NA,73.41315315113732,"right"
2.0,30.2,-13.897695897202938,13.897695897202938,-1.0693447466706856,1.0693447466706856,180.0,0,0,NA,76.19201581113978,"right"
2.0,30.4,-13.779755193949677,13.779755193949677,0.5897035162663066,-0.5897035162663066,180.0,0,0,NA,78.94734309840614,"right"
2.0,30.6,-13.726993946665898,13.726993946665898,0.2638062364188985,-0.2638062364188985,180.0,0,0,NA,81.69216236388995,"right"
2.0,30.8,-13.67819251452107,13.67819251452107,0.24400716072413872,-0.24400716072413872,180.0,0,0,NA,84.42726088835445,"right"
2.0,31.0,-13.852696024952456,13.852696024952456,-0.8725175521569315,0.8725175521569315,180.0,0,0,NA,87.19728775517083,"right"
2.0,31.2,-13.824322038139217,13.824322038139217,0.14186993406619713,-0.14186993406619713,180.0,0,0,NA,89.96167233107523,"right"
2.0,31.4,-13.753590114158579,13.753590114158579,0.3536596199031918,-0.3536596199031918,180.0,0,0,NA,92.71194137468053,"right"
2.0,31.6,-13.71100229177624,13.71100229177624,0.2129391119116971,-0.2129391119116971,180.0,0,0,NA,95.45371999863679,"right"
2.0,31.8,-13.661774996123278,13.661774996123278,0.2461364782648099,-0.2461364782648099,180.0,0,0,NA,98.18567811204161,"right"
1.0,25.4,8.45633564142649e-16,13.810244141109289,4.0666084355439885e-17,0.6641275571659234,90.0,0,0,NA,97.0908111041139,"left"
1.0,25.6,8.472479117652796e-16,13.836608438533732,8.071738113153245e-18,0.13182148712221722,90.0,0,0,NA,94.3239007838954,"left"
1.0,25.8,8.430057394725634e-16,13.76732850744389,-2.1210861463581054e-17,-0.3463996554492089,90.0,0,0,NA,91.57086906542075,"left"
